UF;abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20;jan/21;PIP (1000000);abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20;jan/21
AC;175077000;198066000;146593200;203961000;188196600;131349015;89318984;112874815;102920863;439200; 15.331 ; 0,13704 ; 0,15503 ; 0,11474 ; 0,15964 ; 0,14731 ; 0,10281 ; 0,06991 ; 0,08835 ; 0,08056 ; 0,00034 
AL;709649400;790401000;587062800;804792000;739632000;509745596;352087798;437506078;406775926;1247400; 54.413 ; 0,15650 ; 0,17431 ; 0,12947 ; 0,17749 ; 0,16311 ; 0,11242 ; 0,07765 ; 0,09649 ; 0,08971 ; 0,00028 
AM;835530000;956671800;697663200;999555000;924780000;699775096;475851894;597683494;544385344;2496000; 100.109 ; 0,10015 ; 0,11468 ; 0,08363 ; 0,11982 ; 0,11085 ; 0,08388 ; 0,05704 ; 0,07164 ; 0,06525 ; 0,00030 
AP;181423800;206666400;140949000;214926600;194397600;155455864;101462549;131200836;121335940;462300; 16.795 ; 0,12963 ; 0,14766 ; 0,10071 ; 0,15356 ; 0,13890 ; 0,11107 ; 0,07249 ; 0,09374 ; 0,08669 ; 0,00033 
BA;3303255600;3664416000;2692357200;3720696000;3399658800;2414448182;1654231617;2081244624;1958676717;6758100; 286.240 ; 0,13848 ; 0,15362 ; 0,11287 ; 0,15598 ; 0,14252 ; 0,10122 ; 0,06935 ; 0,08725 ; 0,08211 ; 0,00028 
CE;1993920600;2201222400;1617802200;2230060200;2034700800;1440967594;988346819;1238651786;1169085367;3574700; 155.904 ; 0,15347 ; 0,16943 ; 0,12452 ; 0,17165 ; 0,15661 ; 0,11091 ; 0,07607 ; 0,09534 ; 0,08999 ; 0,00028 
DF;332627400;430672200;256355400;460023600;414662400;443267656;293027070;381289643;345670564;1718100; 254.817 ; 0,01566 ; 0,02028 ; 0,01207 ; 0,02166 ; 0,01953 ; 0,02087 ; 0,01380 ; 0,01796 ; 0,01628 ; 0,00008 
ES;583411200;726955800;457155000;762889800;678639000;673159789;447173679;579505327;521738524;2473800; 137.020 ; 0,05109 ; 0,06367 ; 0,04004 ; 0,06681 ; 0,05943 ; 0,05895 ; 0,03916 ; 0,05075 ; 0,04569 ; 0,00022 
GO;1021791600;1291743600;770452200;1350225000;1206491400;1225362210;801475194;1035221103;951527787;4465200; 195.682 ; 0,06266 ; 0,07921 ; 0,04725 ; 0,08280 ; 0,07399 ; 0,07514 ; 0,04915 ; 0,06348 ; 0,05835 ; 0,00027 
MA;1600288800;1752185400;1337820000;1748770200;1641333000;1035426405;710601613;878542292;848573523;2764500; 98.179 ; 0,19560 ; 0,21416 ; 0,16352 ; 0,21374 ; 0,20061 ; 0,12656 ; 0,08685 ; 0,10738 ; 0,10372 ; 0,00034 
MG;2924129400;3568349400;2251554000;3714905400;3319014000;3158255884;2075191231;2685431470;2460098263;14131500; 614.876 ; 0,05707 ; 0,06964 ; 0,04394 ; 0,07250 ; 0,06477 ; 0,06164 ; 0,04050 ; 0,05241 ; 0,04801 ; 0,00028 
MS;399962400;485692200;295872000;508286400;455155200;451327876;287102521;379401625;344303985;1758660; 106.969 ; 0,04487 ; 0,05449 ; 0,03319 ; 0,05702 ; 0,05106 ; 0,05063 ; 0,03221 ; 0,04256 ; 0,03862 ; 0,00020 
MT;523612800;650241600;385122600;678259800;600168000;604963883;386170541;503348217;460673128;2344200; 137.443 ; 0,04572 ; 0,05677 ; 0,03362 ; 0,05922 ; 0,05240 ; 0,05282 ; 0,03372 ; 0,04395 ; 0,04022 ; 0,00020 
PA;1884042000;2093505000;1509304800;2155260000;1987957800;1439660148;967067560;1217234142;1140513812;3816600; 161.350 ; 0,14012 ; 0,15570 ; 0,11225 ; 0,16029 ; 0,14785 ; 0,10707 ; 0,07192 ; 0,09053 ; 0,08482 ; 0,00028 
PB;873313800;959868600;730546800;970275600;892534800;599624802;418149616;518882396;483197562;1590600; 64.374 ; 0,16280 ; 0,17893 ; 0,13618 ; 0,18087 ; 0,16638 ; 0,11178 ; 0,07795 ; 0,09673 ; 0,09007 ; 0,00030 
PE;2101714200;2313465000;1695471600;2371690200;2175579000;1616092384;1080677261;1359756021;1266414753;4040700; 186.352 ; 0,13534 ; 0,14897 ; 0,10918 ; 0,15272 ; 0,14009 ; 0,10407 ; 0,06959 ; 0,08756 ; 0,08155 ; 0,00026 
PI;761361000;835644000;635238600;850153200;789409800;510521924;352103974;438491266;417595161;1318200; 50.378 ; 0,18135 ; 0,19905 ; 0,15131 ; 0,20250 ; 0,18804 ; 0,12160 ; 0,08387 ; 0,10445 ; 0,09947 ; 0,00031 
PR;1392460800;1766355000;1033329000;1845831600;1640474400;1729323031;1119529121;1458130047;1328551370;6025200; 440.029 ; 0,03797 ; 0,04817 ; 0,02818 ; 0,05034 ; 0,04474 ; 0,04716 ; 0,03053 ; 0,03976 ; 0,03623 ; 0,00016 
RJ;2638270200;3262670400;2101204800;3443043000;3072568800;2970821629;1995172725;2573755127;2292871051;9517200; 758.859 ; 0,04172 ; 0,05159 ; 0,03323 ; 0,05445 ; 0,04859 ; 0,04698 ; 0,03155 ; 0,04070 ; 0,03626 ; 0,00015 
RN;711591600;793351200;567039600;806778600;732347400;552558729;372372190;470401669;438467276;1342500; 66.970 ; 0,12751 ; 0,14216 ; 0,10161 ; 0,14456 ; 0,13123 ; 0,09901 ; 0,06672 ; 0,08429 ; 0,07857 ; 0,00024 
RO;282801600;346165200;207151800;360880200;321204600;322228707;207759987;272405301;250310434;1293300; 44.914 ; 0,07556 ; 0,09249 ; 0,05535 ; 0,09642 ; 0,08582 ; 0,08609 ; 0,05551 ; 0,07278 ; 0,06688 ; 0,00035 
RR;118058400;137270400;95560200;145687200;133878600;113226852;75685771;98436426;88242288;316500; 13.370 ; 0,10596 ; 0,12320 ; 0,08577 ; 0,13076 ; 0,12016 ; 0,10162 ; 0,06793 ; 0,08835 ; 0,07920 ; 0,00028 
RS;1228464600;1501219200;917625000;1622197200;1477952400;1603933900;1015925499;1337388145;1212966950;5707700; 457.294 ; 0,03224 ; 0,03939 ; 0,02408 ; 0,04257 ; 0,03878 ; 0,04209 ; 0,02666 ; 0,03509 ; 0,03183 ; 0,00015 
SC;647417400;872083200;498445800;933064200;839984400;976883534;640678888;831362184;745294493;4023600; 298.227 ; 0,02605 ; 0,03509 ; 0,02006 ; 0,03754 ; 0,03380 ; 0,03931 ; 0,02578 ; 0,03345 ; 0,02999 ; 0,00016 
SE;505369200;555827400;408227400;563847000;514304400;365884653;251263471;316185754;296175357;821700; 42.018 ; 0,14433 ; 0,15874 ; 0,11659 ; 0,16103 ; 0,14688 ; 0,10449 ; 0,07176 ; 0,09030 ; 0,08459 ; 0,00023 
SP;5516335200;7104203400;4241269200;7483986600;6630290400;6978753496;4594643464;5950168463;5316630182;33712500; 2.210.562 ; 0,02995 ; 0,03857 ; 0,02302 ; 0,04063 ; 0,03599 ; 0,03788 ; 0,02494 ; 0,03230 ; 0,02886 ; 0,00018 
TO;279565800;319005600;204092400;325388400;293526600;245497971;157409043;202085432;193722771;704700; 35.666 ; 0,09406 ; 0,10733 ; 0,06867 ; 0,10948 ; 0,09876 ; 0,08260 ; 0,05296 ; 0,06799 ; 0,06518 ; 0,00024 
XX;442200;294000;133200;352800;527400;7188900;12379500;23150860;30010500;232200;;;;;;;;;;;
